message_id,message_date,issue_type,context
37821,2026-02-28T10:37:54,body_row_without_timestamp,Верхняя Галилея | Шавей Цион
38300,2026-02-28T11:20:53,body_row_without_timestamp,פארק אריאל שרון | פארק אריאל שרון
38300,2026-02-28T11:20:53,body_row_without_timestamp,"Ха-Шфела | Хемед, Ганот"
38300,2026-02-28T11:20:53,body_row_without_timestamp,חוות מגנזי | חוות מגנזי
38355,2026-02-28T11:23:47,leading_plain_fragment,"Цфат - город, Цфат - Ноф Киннерет, Кфар Шамай, Мерон, Туба Зангария"
38356,2026-02-28T11:23:47,leading_plain_fragment,"Цфат - город, Цфат - Ноф Киннерет, Кфар Шамай, Мерон, Туба Зангария"
38364,2026-02-28T11:23:53,leading_plain_fragment,"Цфат - город, Цфат - Ноф Киннерет, Кфар Шамай, Мерон, Туба Зангария"
38369,2026-02-28T11:23:58,leading_plain_fragment,"Цфат - город, Цфат - Ноф Киннерет, Кфар Шамай, Мерон, Туба Зангария"
39629,2026-02-28T22:38:52,body_row_without_timestamp,חוות שחרית | חוות שחרית
39629,2026-02-28T22:38:52,body_row_without_timestamp,יבוא דודי | יבוא דודי
39629,2026-02-28T22:38:52,body_row_without_timestamp,מכינת אלישע | מכינת אלישע
39629,2026-02-28T22:38:52,body_row_without_timestamp,"Шарон | Районный совет Дром ха-Шарон, Участок Пи Глилот"
39629,2026-02-28T22:38:52,body_row_without_timestamp,מתחם גלילות | מתחם גלילות
39629,2026-02-28T22:38:52,body_row_without_timestamp,שדה אפרים | שדה אפרים
